Node_type,Node_ID,X,Y
sea entrance,1,70,100
junction,2,100,130
headwater,3,120,265
junction,4,150,185
headwater,5,120,285
flowgauge,6,170,210
headwater,7,195,320
junction,8,185,205
headwater,9,225,295
junction,10,220,185
headwater,11,240,140
junction,12,228,190
headwater,13,330,190
junction,14,275,255
headwater,15,330,200
junction,16,290,270
headwater,17,245,330
junction,18,320,290
junction,19,360,260
headwater,20,430,230
junction,21,370,230
junction,22,365,220
headwater,23,340,215
headwater,24,370,180
junction,25,380,220
headwater,26,430,180
headwater,27,460,200
junction,28,325,335
junction,29,290,360
junction,30,265,360
headwater,31,225,370
headwater,32,230,420
junction,33,305,390
headwater,34,260,470
headwater,35,315,460
junction,36,350,345
junction,37,350,360
headwater,38,360,410
headwater,39,385,390
junction,40,380,340
junction,41,450,380
headwater,42,520,275
junction,43,415,445
headwater,44,380,570
junction,45,400,450
headwater,46,325,500
junction,47,360,490
headwater,48,348,495
headwater,49,355,515
Katherine,50,430,290
junction,51,430,280
headwater,52,410,275
headwater,53,425,260
junction,54,450,275
headwater,55,460,220
junction,56,500,250
headwater,57,580,210
junction,58,540,165
headwater,59,560,120
headwater,60,580,90
Pine Creek,61,350,190
Roadjunction,62,220,100
Delamere,63,310,480
