Location,x-coord,y-coord,Type
1,70,100,0
2,230,190,1
3,120,265,0
4,120,285,0
5,320,195,0
6,225,370,0
7,420,230,0
8,465,260,0
9,460,315,0
10,500,325,0
11,495,350,0
12,510,355,0
13,570,380,0
14,410,360,0
15,390,385,0
16,245,335,0
17,290,225,0
18,240,140,0
19,330,185,0
20,330,200,0
21,340,210,0
22,365,180,0
23,430,180,0
24,460,200,0
25,430,230,0
26,460,220,0
27,425,260,0
28,410,270,0
29,520,270,0
30,530,215,0
31,510,120,0
32,530,90,0
33,150,185,1
34,170,210,1
35,220,185,1
36,275,250,1
37,290,270,1
38,325,335,1
39,320,290,1
40,265,360,1
41,295,360,1
42,100,130,1
43,305,390,1
44,400,450,1
45,450,380,1
46,380,340,1
47,415,445,1
48,350,360,1
49,350,345,1
50,425,290,1
51,430,280,1
52,450,270,1
53,500,245,1
54,540,165,1
55,360,260,1
56,365,230,1
57,365,220,1
58,380,220,1
59,185,205,1
